,0
156,-64069.149999999994
157,-67821.3
158,-67706.15
159,-66113.15
160,-68381.1
161,-60611.45
162,-64083.95
163,-63109.8
164,-64301.59999999999
165,-66570.75
166,-66167.6
167,-65163.34999999999
168,-66797.85
169,-66160.84999999999
170,-64442.5
171,-65400.5
172,-66290.15
173,-68524.4
174,-66293.05
175,-66749.45
176,-68173.3
177,-63872.45
178,-65754.05
179,-66666.65
180,-65897.25
181,-66804.2
182,-65668.5
183,-67312.35
184,-67915.4
185,-66678.1
186,-67956.75
187,-68349.45
188,-67327.05
189,-65616.9
190,-67203.75
191,-67058.45
192,-66919.65
193,-64625.7
194,-68419.45
195,-64208.35
196,-65845.05
197,-63796.65000000001
198,-66889.09999999999
199,-66418.4
200,-64017.45
201,-64093.299999999996
202,-65798.75
203,-63742.05
204,-65970.95
205,-64387.600000000006
206,-66988.95
207,-66782.05
208,-64689.09999999999
209,-67822.84999999999
210,-64142.6
211,-65953.25
212,-64222.350000000006
213,-65740.0
214,-64253.05
215,-67604.35
216,-64231.05
217,-67812.9
218,-66746.95
219,-65633.5
220,-63389.34999999999
221,-66644.3
222,-68252.05
223,-68547.6
224,-65019.149999999994
225,-63754.799999999996
226,-66555.0
227,-66235.35
228,-64371.100000000006
229,-65860.54999999999
230,-65069.899999999994
231,-62312.95
232,-63286.8
233,-66351.95
234,-69493.95
235,-66995.54999999999
236,-67854.95
237,-64846.25
238,-69372.85
239,-66732.29999999999
240,-65503.3
241,-64403.75
242,-65116.100000000006
243,-64809.0
244,-67420.7
245,-67069.2
246,-68352.05
247,-67686.9
248,-61947.75
249,-65880.35
250,-70710.0
251,-67816.7
252,-65614.84999999999
253,-66532.65
254,-64622.899999999994
255,-61831.85
256,-67923.65
257,-65258.049999999996
258,-66528.25
259,-67219.95
260,-65195.149999999994
261,-66624.45
262,-62694.85
263,-64085.55
264,-66149.0
265,-66388.1
266,-68312.6
267,-71302.6
268,-66960.25
269,-64079.84999999999
270,-62084.0
271,-62536.7
272,-61942.5
273,-62108.7
274,-65799.7
275,-66612.35
276,-62143.55
277,-64523.25
278,-63574.649999999994
279,-66244.65
280,-67574.85
281,-66183.15
282,-61518.1
283,-64973.4
284,-65271.75
285,-66509.34999999999
286,-66914.5
287,-63254.899999999994
288,-62402.049999999996
289,-63862.1
290,-67752.95000000001
291,-64759.55
292,-65222.55
293,-65821.55
294,-66235.5
295,-64530.2
296,-66282.5
297,-65294.45
298,-65336.55
299,-61662.25
300,-65394.2
301,-63697.399999999994
302,-63779.850000000006
303,-64547.09999999999
304,-64371.549999999996
305,-65425.3
306,-63792.55
307,-64927.75
308,-63660.950000000004
309,-61421.45
310,-66683.95
311,-60894.84999999999
312,-64842.95
313,-63836.0
314,-61981.40000000001
315,-65685.1
316,-61569.899999999994
317,-62598.7
318,-64671.15000000001
319,-61766.8
320,-67155.3
321,-66310.9
322,-67038.6
323,-64815.25
324,-63841.5
325,-63552.75
326,-64770.3
327,-64827.59999999999
328,-64940.0
329,-64344.95
330,-66029.3
331,-65849.35
332,-63785.850000000006
333,-63302.799999999996
334,-64032.75
335,-60529.149999999994
336,-62930.05
337,-64049.34999999999
338,-64049.049999999996
339,-64964.4
340,-63066.2
341,-64672.2
342,-63218.35
343,-62180.05
344,-62036.0
345,-64432.0
346,-63247.7
347,-60650.5
348,-64576.75
349,-64540.3
350,-64229.55
351,-61971.8
352,-63075.35
353,-64202.6
354,-62540.2
355,-63129.2
356,-64016.8
357,-63210.15
358,-62920.8
359,-63839.85
360,-60163.85
361,-60009.95
362,-61941.05
363,-64356.7
364,-62000.399999999994
365,-63292.25
366,-61031.59999999999
367,-66047.9
368,-60388.59999999999
369,-65972.8
370,-60569.299999999996
371,-64466.649999999994
372,-62493.799999999996
373,-62843.45
374,-61165.149999999994
375,-62232.6
376,-65527.40000000001
377,-61486.549999999996
378,-61954.600000000006
379,-60802.35
380,-59118.1
381,-60802.05
382,-62729.85
383,-61499.7
384,-63075.3
385,-63207.95
386,-61110.25
387,-63110.9
388,-62121.35
389,-61023.45
390,-61153.7
391,-61835.34999999999
392,-61555.5
393,-61173.85
394,-60069.2
395,-61471.75
396,-61663.6
397,-64485.7
398,-58709.45
399,-57745.1
400,-62713.45
401,-61380.55
402,-60986.65
403,-58127.74999999999
404,-61811.649999999994
405,-61774.649999999994
406,-63097.15
407,-64243.75
408,-60972.45
409,-62497.149999999994
410,-64289.6
411,-61008.7
412,-61092.35
413,-61535.399999999994
414,-64932.45
415,-62932.149999999994
416,-64201.25
417,-62953.09999999999
418,-63726.3
419,-58824.3
420,-61184.2
421,-60457.049999999996
422,-62951.799999999996
423,-58459.399999999994
424,-62566.59999999999
425,-60456.6
426,-62320.45
427,-59466.6
428,-60938.600000000006
429,-63367.55
430,-63820.3
431,-62590.95
432,-62360.299999999996
433,-64386.9
434,-59137.45
435,-60587.649999999994
436,-59080.34999999999
437,-62370.7
438,-60179.0
439,-59885.6
440,-61997.299999999996
441,-62292.3
442,-65472.100000000006
443,-61246.34999999999
444,-60608.649999999994
445,-60385.049999999996
446,-60621.45
447,-60407.59999999999
448,-60946.3
449,-60883.7
450,-58926.299999999996
451,-62914.2
452,-59720.45
453,-62401.299999999996
454,-63008.25
455,-59889.25
456,-62067.1
457,-62505.40000000001
458,-60515.8
459,-61545.85
460,-62998.3
461,-61847.399999999994
462,-64032.95
463,-62309.700000000004
464,-62146.25
465,-64483.5
466,-60051.1
467,-63754.25
468,-60470.75
469,-61337.5
470,-61294.25
471,-60275.75
472,-60831.2
473,-60564.99999999999
474,-59561.149999999994
475,-61924.149999999994
476,-60502.899999999994
477,-61262.899999999994
478,-64102.6
479,-61778.75
480,-60554.1
481,-60252.399999999994
482,-60378.1
483,-62010.3
484,-62253.649999999994
485,-58353.399999999994
486,-63837.2
487,-61560.85
488,-59580.3
489,-64850.2
490,-60773.09999999999
491,-63980.25
492,-61582.84999999999
493,-59635.0
494,-62575.25
495,-60229.1
496,-58480.34999999999
497,-60869.649999999994
498,-63153.350000000006
499,-61219.3
500,-59847.75
501,-61952.25
502,-59115.149999999994
503,-60151.0
504,-62596.34999999999
505,-61031.149999999994
506,-60498.75
507,-59627.899999999994
508,-62902.05
509,-62198.2
510,-58560.5
511,-57841.25
512,-63079.85
513,-59689.84999999999
514,-60575.59999999999
515,-60615.75
516,-63126.799999999996
517,-57198.24999999999
518,-61151.3
519,-62896.24999999999
520,-59114.299999999996
521,-62880.399999999994
522,-63361.2
523,-58322.649999999994
524,-62358.25
525,-60123.7
526,-62283.6
527,-58597.149999999994
528,-59394.799999999996
529,-61010.55
530,-59014.2
531,-58483.0
532,-61328.0
